ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
5778,15941,1,Harriet McLeodd,35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"not specified,student loan,personal loan",10,8,5.54,3,Standard,179.22,25.64924606724341,322,Yes,124.39208242092045,33.349568589344514,Low_spent_Large_value_payments,378.54048018698535,Standard
5790,27750,1,Sinead Carews,39,328336328,Manager,8701.545,519.12875,6,5,32,7,"personal loan,payday loan,student loan,auto loan,home equity loan,student loan,payday loan",23,9,8.86,6,Standard,2602.69,24.523163853918167,107,Yes,36.54819717138717,13.066209919444336,Low_spent_Large_value_payments,272.2984679091685,Poor
5802,4084,1,Poornimaf,36,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"not specified,student loan,student loan,credit-builder loan,auto loan",16,14,7.83,5,Standard,758.44,37.41820916883601,218,NM,101.3286373638512,19.356208441233957,High_spent_Medium_value_payments,337.1522635235368,Standard
5814,13266,1,Chalmersa,30,965462491,Scientist,31993.78,2942.148333333333,6,6,7,2,"payday loan,home equity loan",8,14,6.28,0,Standard,818.22,25.36959679239191,202,Yes,45.14129822463578,23.27102220438635,Low_spent_Medium_value_payments,447.0747000515962,Standard
35826,27465,1,Soyoungw,45,424320755,Mechanic,31931.73,2652.9775,7,3,10,3,"home equity loan,personal loan,payday loan",5,19,8.16,0,Good,577.85,37.91369804390448,374,No,77.81784184405257,47.33088769698607,High_spent_Small_value_payments,318.74666315265193,Good
35838,47149,1,Moirax,27,977031207,Doctor,52475.7,4172.975,8,8,15,6,"mortgage loan,student loan,student loan,payday loan,mortgage loan,credit-builder loan",13,25,20.13,8,Bad,3342.73,26.17929871,87,Yes,250.00381112118737,47.77091309963646,Low_spent_Small_value_payments,99.11265857879091,Poor
35862,12495,1,Dan Leviner,20,489989033,Scientist,18927.65,1779.3041666666668,6,7,24,6,"student loan,mortgage loan,auto loan,personal loan,home equity loan,personal loan",13,15,8.61,10,Standard,1942.4,25.26513637207725,233,Yes,62.54025240291996,35.85212983368937,High_spent_Small_value_payments,291.45296036799107,Poor
35874,35795,1,Sonali Paull,25,428881742,Journalist,14982.1,1407.5083333333334,7,10,19,6,"payday loan,mortgage loan,student loan,home equity loan,student loan,debt consolidation loan",51,19,7.23,12,Bad,4224.63,38.49225828387279,118,Yes,68.48816373835726,27.061255915266944,Low_spent_Small_value_payments,283.3449103800592,Poor
35886,9780,1,Eveline Danubratam,26,221753766,Mechanic,9127.26,991.605,7,9,26,2,"not specified,debt consolidation loan",37,24,1.65,12,Bad,1399.89,32.34844287,99,Yes,12.88116183701142,0,Low_spent_Small_value_payments,341.90874754461487,Poor
35898,37190,1,Michele Kambask,44,845077226,Writer,16989.6,1165.8,5,6,7,3,"credit-builder loan,auto loan,credit-builder loan",15,0,10.09,1,Good,59.76,25.44591006952197,243,No,29.197023920072173,15.72558189094986,Low_spent_Small_value_payments,313.18609379389574,Standard
35910,47025,1,Charlie Dunmorex,20,607469294,Mechanic,90827.68,7847.973333333332,8,4,20,3,"debt consolidation loan,student loan,auto loan",24,13,2.03,2,Standard,1167.05,25.80651273134104,269,Yes,174.40576462756667,156.24113098026743,High_spent_Medium_value_payments,646.6897338479572,Standard
35922,45245,1,Herberta,37,744865309,Accountant,26196.39,2139.0325,7,6,11,3,"credit-builder loan,not specified,debt consolidation loan",24,13,11.97,3,Standard,505.37,28.758818108426546,353,Yes,48.53365137595449,53.33118445536705,Low_spent_Small_value_payments,209.87071779510475,Standard
35946,9495,1,Griffithsi,15,203077505,Teacher,73099.84,6075.653333333333,6,8,26,3,"debt consolidation loan,auto loan,home equity loan",48,16,8.12,9,Bad,1806.64,34.94149068280208,86,Yes,155.98174545554372,73.19652428064093,High_spent_Small_value_payments,494.3450595642548,Standard
35958,36985,1,Phild,43,732804889,Lawyer,23211.7,1898.3083333333327,4,7,15,4,"payday loan,credit-builder loan,not specified,debt consolidation loan",29,20,10.28,2,Standard,100.19,33.13124191691205,273,No,58.52598660398907,44.36369066368548,Low_spent_Small_value_payments,261.8851492,Standard
35970,39556,1,Bernie Woodallh,34,704033387,Scientist,60552.24,4794.02,7,5,19,4,"student loan,not specified,home equity loan,not specified",22,18,10.57,6,Standard,32.83,34.82082174150581,174,NM,168.8465079653391,61.66769297,High_spent_Medium_value_payments,416.8874837068572,Standard
35982,23383,1,Yaor,31,763879227,Accountant,81166.86,6735.905,7,4,7,2,"payday loan,mortgage loan",15,14,4.5,8,Standard,1353.18,35.13658350843661,137,Yes,135.10448360249265,127.01807552094836,High_spent_Medium_value_payments,509.8406454,Standard
35994,13214,1,Kimp,21,224423295,Entrepreneur,86971.56,7053.63,8,5,4,1,not specified,24,18,5.98,4,Good,333.78,39.85089927877039,243,No,38.44517562219672,81.42232243,High_spent_Small_value_payments,749.4675862425321,Poor
36018,38602,1,Hyunjoop,45,88998644,Accountant,18849.1,1772.7583333333332,10,8,17,8,"credit-builder loan,credit-builder loan,payday loan,mortgage loan,debt consolidation loan,payday loan,debt consolidation loan,not specified",21,20,18.24,9,Bad,3327.28,32.689970272396074,158,Yes,75.64802874553267,30.383857372512846,Low_spent_Small_value_payments,217.4988947905117,Standard
36030,33691,1,Silvia Ognibenei,49,403716438,Lawyer,73119.46,6239.288333333334,4,3,5,4,"personal loan,home equity loan,not specified,mortgage loan",5,2,1.1,0,Good,1194.38,42.32097204187623,305,No,181.64002373519867,70.01222782313681,High_spent_Small_value_payments,612.2765817749979,Standard
36042,32729,1,en Deightono,55,165282986,Accountant,32946.22,2865.518333333333,0,7,10,2,"student loan,debt consolidation loan",3,3,10.03,4,Good,1330.02,33.74188344551942,211,No,46.24458495,34.13407212736563,High_spent_Large_value_payments,439.2850195053729,Standard
36054,34459,1,Jim Christiea,34,576941039,Architect,23814.73,2104.560833333333,3,4,10,4,"personal loan,debt consolidation loan,debt consolidation loan,auto loan",30,9,13.05,8,Standard,837.41,24.997281937250147,71,Yes,76.39432092964908,37.90346476772736,High_spent_Medium_value_payments,342.21473039575926,Standard
36066,36742,1,Rochap,45,561676184,Media_Manager,10613.34,1066.4450000000004,8,6,7,1,not specified,7,9,3.94,0,Standard,1191.71,39.71447595296637,323,No,6.4878675261176335,17.050333483869302,Low_spent_Medium_value_payments,278.5717239670568,Standard
36078,6873,1,Robin Emmotto,22,625375496,Journalist,19386.02,1858.5016666666668,4,4,7,3,"payday loan,student loan,credit-builder loan",8,15,9.74,8,Standard,2438.26,26.11009588039316,173,Yes,40.00925124928242,20.54877654527472,High_spent_Medium_value_payments,337.1233942,Poor
36090,16689,1,Copleyw,41,508521146,Media_Manager,28832.98,2628.748333333333,7,7,7,3,"mortgage loan,debt consolidation loan,auto loan",14,8,12.14,8,Standard,2576.04,31.87328106368414,189,Yes,53.28671122851152,40.765978065921736,Low_spent_Small_value_payments,296.2615083660013,Poor
36102,11768,1,Alexei Oreskovicw,26,214584052,Musician,10240.42,937.3683333333332,10,9,23,9,"mortgage loan,credit-builder loan,student loan,credit-builder loan,student loan,personal loan,personal loan,payday loan,credit-builder loan",45,24,9.13,7,Bad,1445.23,38.97409664766208,85,Yes,42.97441839977928,55.43573591429318,Low_spent_Small_value_payments,285.32667901926084,Poor
36126,2533,1,Whiteb,21,873596048,Media_Manager,97414.8,8134.899999999999,8,3,12,2,"not specified,auto loan",14,9,10.2,0,Standard,496.4,41.00271580448798,230,No,84.63705086891575,95.70067337114052,Low_spent_Large_value_payments,617.8955327984154,Standard
36138,9455,1,Lukeb,44,856241723,Writer,18110.7,1733.225,6,8,20,7,"personal loan,personal loan,credit-builder loan,debt consolidation loan,personal loan,debt consolidation loan,student loan",28,16,4.09,9,Bad,1834.47,36.56893976348803,70,NM,100.7314623,24.828298034737436,Low_spent_Medium_value_payments,306.4947047893992,Standard
36150,26143,1,Lucial,42,857271046,Media_Manager,150467.64,12642.97,2,5,10,4,"not specified,credit-builder loan,debt consolidation loan,debt consolidation loan",12,12,2.96,2,Good,1443.25,33.59958439370456,230,No,260.2033503089225,182.2806104379044,High_spent_Large_value_payments,1061.8130392531734,Standard
36174,2725,1,Sakarit,34,593909236,Media_Manager,60493.08,4976.09,9,7,30,9,"auto loan,credit-builder loan,home equity loan,credit-builder loan,auto loan,credit-builder loan,auto loan,payday loan,mortgage loan",26,15,25,11,Bad,3680.62,38.2840263,160,NM,432.5810336521795,36.13246923722426,High_spent_Medium_value_payments,196.67946992974248,Standard
36186,7982,1,Stefano Bernabeiq,26,49845378,Entrepreneur,41012.42,3341.7016666666664,5,4,27,7,"payday loan,debt consolidation loan,home equity loan,student loan,student loan,personal loan,personal loan",13,13,19.47,4,Standard,1690.55,26.118009925575063,88,Yes,199.36780256217992,58.47233357727147,Low_spent_Small_value_payments,73.46133096792437,Poor
36198,24449,1,Adlerh,51,54654637,Entrepreneur,147517.36,12513.113333333333,3,5,16,1,not specified,11,20,4.79,4,Standard,325.89,32.35406559163203,381,No,71.33907585775513,86.31309861,High_spent_Large_value_payments,1122.7704875664767,Standard
36210,27730,1,Laurence Frostt,33,873888377,Musician,100241.67,8121.4725,8,5,10,4,"student loan,auto loan,not specified,mortgage loan",25,14,1.8,1,Good,209.63,37.25124478608053,256,No,260.6081050358188,55.30283235470755,High_spent_Large_value_payments,736.2363126094735,Poor
36222,17073,1,Ransdell Piersone,21,468453404,Entrepreneur,88463.25,7609.9375,5,3,6,6,"debt consolidation loan,personal loan,student loan,payday loan,auto loan,debt consolidation loan",12,11,11.66,5,Standard,827.79,37.798137223986224,79,Yes,243.35816926767924,127.22901139890742,High_spent_Large_value_payments,630.4065693334135,Standard
36234,47993,1,Evav,18,648471930,Engineer,22324.105,1723.3420833333332,1,4,4,3,"not specified,debt consolidation loan,not specified",10,10,8.72,1,Good,874.44,35.771466471286544,371,No,45.02575122482221,43.82207662700274,Low_spent_Small_value_payments,245.01810401752624,Good
36246,30362,1,Brl,55,565876956,Scientist,77469.6,6577.8,4,5,12,1,student loan,15,17,3.74,2,Good,529.13,39.33962778666658,311,No,55.809077539420855,43.96628309859344,High_spent_Large_value_payments,798.0046393619858,Good
36258,23043,1,Robin Emmotth,15,811095468,Teacher,60014.88,4987.24,5,9,26,2,"credit-builder loan,auto loan",26,15,12.57,8,Standard,2620.62,24.177639789519283,117,Yes,84.24294735751471,47.85434942240008,Low_spent_Small_value_payments,202.85401372278824,Poor
36270,14888,1,Atanas Dinovf,41,668807236,Scientist,8833.225,956.1020833333332,10,7,23,5,"auto loan,credit-builder loan,personal loan,payday loan,auto loan",49,19,2.63,10,Bad,2987.52,34.39118071131538,89,Yes,34.61951805707215,17.81972439305014,Low_spent_Small_value_payments,306.95755580632147,Poor
36282,42708,1,Nicola Lesken,41,231062460,Journalist,35733.69,2953.807500000001,4,3,11,2,"credit-builder loan,payday loan",13,5,2.71,2,Good,63.44,25.42529458539408,382,No,44.65081870879241,48.36466345826194,High_spent_Medium_value_payments,419.0931437418088,Good
36294,45166,1,Neil Maidmento,43,575229133,Accountant,15117.51,1216.7925,6,5,28,7,"not specified,auto loan,debt consolidation loan,home equity loan,personal loan,not specified,personal loan",12,10,19.94,12,Standard,2032.74,40.02424294485968,77,Yes,78.69659138,35.72738644,Low_spent_Medium_value_payments,237.9292063752666,Poor
36306,29194,1,Basiln,26,93224351,Mechanic,40624.94,3665.411666666667,7,9,21,4,"credit-builder loan,not specified,personal loan,not specified",60,15,12.06,12,Bad,1750.56,33.06305053750805,167,Yes,73.02343358946548,39.190904874869865,High_spent_Large_value_payments,461.1979441825201,Poor
36318,14629,1,Praveenj,20,236453040,Journalist,81793.56,6769.13,6,7,19,3,"auto loan,auto loan,home equity loan",10,17,4.47,2,Standard,1208.29,34.78410358039043,352,Yes,124.45911633651887,61.35836561143356,Low_spent_Small_value_payments,152.88851149632714,Standard
36330,25437,1,Carmel Crimminsu,38,308009678,Scientist,80265.2,6596.766666666666,5,7,12,4,"credit-builder loan,not specified,debt consolidation loan,student loan",15,9,13.86,4,Standard,636.92,39.29760725739845,115,Yes,220.0650676242417,68.30810792398469,High_spent_Small_value_payments,506.1370044148017,Standard
36342,12338,1,Saphirp,41,1436015,Architect,38712.58,3466.0483333333336,2,3,4,3,"debt consolidation loan,payday loan,home equity loan",5,7,4.63,0,Good,1054.58,23.84481519409294,296,No,49.44864692,24.00504476948309,High_spent_Medium_value_payments,502.2972191564744,Good
36354,45221,1,Stephenq,26,242183151,Writer,15895.235,1268.6029166666667,4,7,16,4,"student loan,mortgage loan,auto loan,student loan",17,11,6.92,3,Standard,237.72,29.01018436,314,Yes,35.88598876479092,20.960026909581835,Low_spent_Small_value_payments,244.5821911398547,Standard
36366,40164,1,Richard Leongc,39,420503636,Developer,32540.8,2816.733333333333,10,10,29,9,"auto loan,mortgage loan,debt consolidation loan,mortgage loan,mortgage loan,home equity loan,student loan,auto loan,credit-builder loan",34,25,16.54,6,Bad,2571.84,31.05182099483532,68,Yes,138.50000300952672,43.21496307538239,High_spent_Large_value_payments,335.67831676272283,Poor
36390,16018,1,Thank,21,199634034,Entrepreneur,23029.61,2034.134166666667,4,5,3,4,"auto loan,personal loan,personal loan,auto loan",28,18,0.88,4,Good,424.17,31.679323611495946,345,No,47.558257423462926,25.43503839601697,High_spent_Large_value_payments,351.532298,Poor
36402,14953,1,Andreasw,34,961047892,Doctor,62925.64,5109.803333333333,7,5,21,2,"credit-builder loan,debt consolidation loan",22,18,8.02,7,Standard,2060.33,27.71490631764551,235,Yes,94.35528886874158,36.202766432000686,Low_spent_Small_value_payments,422.38508924256826,Poor
36426,25415,1,Jonese,29,903205885,Writer,27403.02,2054.585,5,6,5,4,"credit-builder loan,personal loan,auto loan,home equity loan",18,8,7.25,2,Standard,1060.13,38.48371992232256,352,Yes,75.22435917130426,28.54414870683769,High_spent_Small_value_payments,351.5872923143771,Standard
36438,2691,1,Michele Kambasi,15,644261074,Teacher,19072.63,1631.3858333333335,8,7,24,4,"credit-builder loan,debt consolidation loan,home equity loan,personal loan",56,12,18.16,12,Standard,1371.64,39.45441939167813,86,NM,60.51420701,52.46594375999811,Low_spent_Small_value_payments,326.1269242703865,Poor
36450,30843,1,Kathym,34,121750461,Doctor,65538.64,5633.553333333332,9,7,23,8,"payday loan,mortgage loan,payday loan,mortgage loan,home equity loan,not specified,mortgage loan,home equity loan",36,23,8.1,9,Bad,1791.14,38.96871975503681,190,Yes,359.2632373,44.02624021685661,High_spent_Large_value_payments,335.15199165117315,Poor
36462,29633,1,Herberto,32,19770295,Entrepreneur,19457.51,1850.4591666666663,7,5,26,9,"auto loan,mortgage loan,not specified,payday loan,mortgage loan,mortgage loan,not specified,auto loan,debt consolidation loan",51,22,22.32,10,Bad,4713.23,27.75662336819832,141,Yes,75.80109830718233,21.19109426368055,Low_spent_Large_value_payments,299.05972864562943,Poor
36486,23223,1,Nicolaciz,20,61514957,Teacher,39024.34,3166.028333333333,4,5,33,2,"mortgage loan,auto loan",5,20,9.22,11,Standard,2201.24,36.30323728323104,153,Yes,58.201104111484185,53.1411713,Low_spent_Small_value_payments,300.6041206926617,Poor
36498,23807,1,Edward Krudyc,17,173861649,Mechanic,24931.39,2098.6158333333333,4,6,13,2,"credit-builder loan,home equity loan",17,8,11.34,8,Standard,18.55,25.99818007,344,Yes,36.80183901239732,42.61064094072239,Low_spent_Small_value_payments,293.5208829250752,Standard
36510,11610,1,Axh,17,864986255,Engineer,35247.02,2877.251666666666,9,7,27,2,"not specified,payday loan",46,22,9.12,7,Bad,1630.99,31.478507657861897,151,Yes,39.212006511625546,28.751440734948808,Low_spent_Small_value_payments,322.75623253613065,Poor
36522,4669,1,James Reganl,31,736674134,Architect,7703.635,651.9695833333334,6,8,18,6,"auto loan,home equity loan,student loan,home equity loan,home equity loan,student loan",55,17,16.05,11,Bad,3044.94,34.920543937265464,25,NM,32.08109830785891,19.617632958123952,Low_spent_Small_value_payments,252.2576181934703,Poor
36534,17846,1,Luke Bakeru,39,973200372,Media_Manager,58228.38,4848.365,4,1,4,1,personal loan,8,0,6.02,4,Good,199.6,24.05946464514697,345,No,33.92926402074172,55.52538320090107,Low_spent_Small_value_payments,494.6942148155596,Good
36546,22068,1,Youngg,15,965272454,Media_Manager,73425.16,6103.763333333332,3,3,13,7,"home equity loan,mortgage loan,payday loan,student loan,debt consolidation loan,credit-builder loan,debt consolidation loan",22,20,15.21,8,Standard,1205.13,33.294910857590445,227,Yes,426.97182331903946,51.48295023076247,High_spent_Medium_value_payments,279.18904999929885,Standard
36558,49681,1,Brian Ellsworthv,33,884431819,Architect,22252.63,1826.385833333333,8,6,8,2,"mortgage loan,auto loan",20,14,17.3,6,Standard,358.36,35.19322575,370,NM,28.043911972698822,54.57980225562204,Low_spent_Small_value_payments,375.3030847942288,Standard
36570,16846,1,Tommyf,29,510017946,Mechanic,11831.605,1083.9670833333334,6,4,20,4,"student loan,auto loan,credit-builder loan,personal loan",6,15,2.13,0,Standard,860.8,25.00833463118329,337,Yes,33.34467082174971,34.925951852108426,Low_spent_Small_value_payments,297.4450299980187,Standard
36594,39711,1,Sven Nordenstamu,26,373863169,Doctor,47726.04,4007.17,7,8,18,2,"student loan,personal loan",15,18,12.2,11,Standard,2519.86,34.288850013098056,176,Yes,61.84755016490509,82.80659953684909,Low_spent_Medium_value_payments,451.1684919670079,Poor
36606,43718,1,Tarmo Virkig,30,945353323,Musician,51938.04,4473.17,7,7,33,7,"mortgage loan,debt consolidation loan,student loan,not specified,auto loan,student loan,auto loan",46,17,1.62,11,Bad,1638.92,31.30594603532725,191,NM,196.37801898351228,47.570476197184846,Low_spent_Medium_value_payments,352.6259401048364,Poor
36618,35908,1,Denar,32,911818555,Writer,141000.84,11973.07,5,3,20,4,"debt consolidation loan,mortgage loan,auto loan,debt consolidation loan",29,9,7.25,2,Standard,290.5,36.91130595266428,290,Yes,255.3987089277089,131.78884637098102,High_spent_Medium_value_payments,959.9355776,Standard
36642,32100,1,Bilbyu,36,423886945,Entrepreneur,41772.18,3365.015,4,4,13,4,"payday loan,auto loan,student loan,debt consolidation loan",13,18,13.5,8,Standard,1383.84,31.46887238674301,225,Yes,119.08805481173222,51.62010479078296,Low_spent_Small_value_payments,231.61507862616816,Standard
36654,45457,1,Matthewt,42,848676653,Engineer,17158.43,1507.8691666666666,8,7,28,7,"credit-builder loan,auto loan,personal loan,credit-builder loan,home equity loan,mortgage loan,auto loan",55,24,28.45,6,Bad,4438.41,32.68829809741171,96,Yes,97.71693434810184,28.569990168027665,Low_spent_Small_value_payments,261.09291544036864,Poor
36666,45408,1,Deepac,50,77783625,Scientist,35516.68,2729.723333333333,0,2,6,4,"auto loan,payday loan,payday loan,payday loan",14,7,6.65,2,Good,981.33,32.86750623408388,193,No,95.85926637595648,54.57191047747413,High_spent_Medium_value_payments,322.0924914668095,Standard
36690,40107,1,Katzq,35,755469784,Doctor,38186.84,3428.236666666666,8,6,20,9,"mortgage loan,mortgage loan,mortgage loan,debt consolidation loan,payday loan,debt consolidation loan,student loan,payday loan,personal loan",28,16,13.03,11,Bad,3269.54,32.127075951248905,117,NM,282.37104690736544,36.32394125903853,High_spent_Medium_value_payments,175.11606999513077,Standard
36702,41590,1,Rinkey,34,789123913,Accountant,24192.59,2282.0491666666667,3,7,19,2,"mortgage loan,student loan",19,13,8.78,0,Standard,974.45,30.15570408605625,190,Yes,34.50356089201142,26.586016850671808,Low_spent_Small_value_payments,251.1163761959389,Standard
36714,23828,1,Luciana Lopezq,24,666639523,Scientist,38387.94,3079.995000000001,8,5,19,8,"debt consolidation loan,payday loan,payday loan,auto loan,student loan,home equity loan,credit-builder loan,student loan",55,23,27.2,9,Bad,3862.45,26.44810218103223,88,Yes,171.74298230710704,24.529436988106408,High_spent_Medium_value_payments,285.01187873527647,Standard
36726,36003,1,Karen Jacobst,20,169534759,Accountant,31469.96,2622.4966666666664,7,9,27,5,"home equity loan,payday loan,student loan,not specified,home equity loan",21,21,27.4,9,Bad,3858.12,34.55958879401412,17,Yes,74.55748411702369,40.122257735775584,Low_spent_Small_value_payments,207.87245362544343,Standard
36738,16017,1,Jim Finklev,42,973325469,Developer,17775.71,1543.309166666667,8,5,33,8,"home equity loan,auto loan,home equity loan,home equity loan,home equity loan,auto loan,student loan,debt consolidation loan",28,16,26.2,8,Bad,2638.68,28.84424785174165,10,Yes,65.87536999004014,20.87238027859781,Low_spent_Small_value_payments,317.4108653178286,Standard
36750,41195,1,Padraic Halpina,39,284621369,Manager,65599.92,5680.66,9,7,27,3,"personal loan,debt consolidation loan,personal loan",37,8,19.83,10,Standard,1270.15,25.86528408565957,145,Yes,100.19981688974588,95.96628865,High_spent_Medium_value_payments,621.8998944649372,Poor
36786,43115,1,Woodalle,45,568230854,Lawyer,26733.39,2071.7825,8,6,9,4,"mortgage loan,auto loan,student loan,credit-builder loan",27,13,10.97,1,Good,1413.64,41.105477918927065,307,NM,49.94217203578376,20.14136339327068,High_spent_Large_value_payments,357.8418365858895,Standard
36798,6316,1,Liana B.g,39,749916133,Scientist,18270.68,1348.5566666666666,7,9,33,6,"payday loan,personal loan,student loan,home equity loan,student loan,personal loan",54,18,15.49,8,Standard,2021.95,36.45125428835024,157,Yes,90.93654041429086,23.764288926729503,Low_spent_Medium_value_payments,245.0901159421692,Poor
36810,28016,1,arani Krishnanx,23,59158950,Accountant,68454.96,5820.580000000001,8,9,19,5,"payday loan,not specified,personal loan,auto loan,payday loan",60,16,5.08,12,Bad,2407.21,34.607549291657804,224,Yes,160.51367457785037,120.4630091842557,Low_spent_Large_value_payments,412.90777045820647,Poor
36822,38293,1,Daveyw,32,740184590,Developer,115123.16,9541.596666666666,0,5,9,2,"student loan,auto loan",1,1,2.14,3,Good,286.29,40.34219809,309,No,166.99180844726837,114.80552531052696,High_spent_Large_value_payments,786.0937666275188,Good
36834,48715,1,Andrea Shalal-Esam,37,589840344,Developer,19920.93,1470.0775,8,3,11,2,"credit-builder loan,not specified",21,9,18.44,4,Standard,2645.5,35.35634637,175,Yes,21.04414153612437,51.994079694790926,Low_spent_Small_value_payments,300.4850761,Standard
36846,30401,1,Jessicaf,28,763069169,Writer,66422.98,5386.248333333333,8,7,5,7,"auto loan,auto loan,debt consolidation loan,payday loan,debt consolidation loan,debt consolidation loan,not specified",26,11,18.32,5,Standard,153.99,33.35833582023201,130,NM,280.9275506378847,54.10589774022663,High_spent_Medium_value_payments,429.4704234674362,Standard
36858,31127,1,Marcy Nicholsonc,22,287479795,Entrepreneur,16568.58,1601.715,6,6,23,7,"student loan,debt consolidation loan,not specified,mortgage loan,personal loan,home equity loan,home equity loan",25,19,20.05,7,Bad,4556.34,30.123918293066808,156,Yes,80.97704531198512,45.166120237920936,Low_spent_Small_value_payments,162.55152629765269,Poor
36870,7914,1,Madelinew,29,957075513,Journalist,8439.33,554.2775,6,9,15,6,"credit-builder loan,student loan,personal loan,not specified,payday loan,auto loan",28,25,16.6,9,Bad,1414.43,23.017781772382413,229,Yes,35.343874737167994,11.609648214173136,Low_spent_Medium_value_payments,268.4839601786603,Poor
36882,32572,1,Jamesk,44,427344793,Architect,10244.8,1131.7333333333331,8,5,18,8,"debt consolidation loan,personal loan,auto loan,credit-builder loan,debt consolidation loan,debt consolidation loan,student loan,home equity loan",50,15,16.29,12,Bad,4923.97,29.79182364252879,115,Yes,37.75420492985392,19.238876674951147,High_spent_Small_value_payments,267.4042924242885,Standard
36894,33803,1,Josephp,30,68073518,Scientist,9623.005,960.9170833333332,7,9,28,5,"home equity loan,payday loan,debt consolidation loan,student loan,credit-builder loan",52,15,5.13,11,Bad,1693,30.572315749134173,212,Yes,26.240813349400305,12.60425403,High_spent_Medium_value_payments,307.2466409542556,Standard
36906,7815,1,Shirbonu,24,988830517,Lawyer,167489.4,13407.167484256372,1,1,11,2,"not specified,payday loan",10,11,4.51,0,Good,1328.9,45.78846031,316,No,196.0304652758236,141.23923307882626,High_spent_Large_value_payments,545.5150535955073,Good
36930,31160,1,Valetkevitchb,28,28336202,Accountant,34392.44,2703.036666666667,9,6,30,3,"auto loan,payday loan,credit-builder loan",33,19,15.84,10,Standard,2405.43,32.52028274639913,145,Yes,80.04324652082961,28.65118346195155,High_spent_Large_value_payments,397.7639358141664,Poor
